Date,New Cases,New Tests,Hospitalizations,ICU
2020-05-10,122,,,
2020-05-09,146,307,178,59
2020-05-08,150,1819,218,87
2020-05-07,92,2184,188,74
2020-05-06,127,2770,186,69
2020-05-05,66,2282,192,73
2020-05-04,84,1641,202,62
2020-05-03,103,1390,169,52
2020-05-02,92,1999,187,58
2020-05-01,160,2313,202,58
2020-04-30,128,2093,181,61
2020-04-29,101,2052,190,63
2020-04-28,32,1812,175,70
2020-04-27,48,830,178,74
2020-04-26,99,966,157,62
2020-04-25,118,962,148,55
2020-04-24,31,1047,159,70
2020-04-23,67,1286,150,63
2020-04-22,66,1301,158,59
2020-04-21,24,891,162,70
2020-04-20,36,485,148,54
2020-04-19,70,484,128,42
2020-04-18,57,712,144,56
2020-04-17,72,771,155,59
2020-04-16,50,763,129,48
2020-04-15,83,686,138,68
2020-04-14,21,545,104,45
2020-04-13,7,295,122,62
2020-04-12,49,399,103,51
2020-04-11,81,626,107,52
2020-04-10,59,702,118,63
2020-04-09,63,652,124,57
2020-04-08,89,797,127,63
2020-04-07,40,665,99,59
2020-04-06,49,411,129,75
2020-04-05,47,525,130,72
2020-04-04,70,578,140,63
2020-04-03,55,681,112,71
2020-04-02,54,914,103,44
2020-04-01,104,832,115,47
2020-03-31,38,554,67,31
2020-03-30,33,576,94,46
2020-03-29,25,651,0,0
2020-03-28,79,840,0,0
2020-03-27,68,746,50,31
2020-03-26,64,885,,
2020-03-25,36,527,,
2020-03-24,25,455,,
2020-03-23,28,327,,
2020-03-22,17,854,,
2020-03-21,13,420,,
2020-03-20,13,443,,
2020-03-19,10,218,,
2020-03-18,12,243,,
2020-03-17,7,142,,
2020-03-16,5,130,,
2020-03-15,3,89,,
2020-03-14,8,112,,
2020-03-13,,86,,
2020-03-12,,76,,
2020-03-11,1,53,,
2020-03-10,,64,,
2020-03-09,1,40,,
2020-03-08,,0,,
2020-03-07,,0,,
2020-03-06,1,45,,
2020-03-05,,25,,
2020-03-04,,0,,
2020-03-03,2,14,,
2020-03-02,,15,,
2020-03-01,,0,,

exported from https://web.archive.org/web/20200511145214/https://occovid19.ochealthinfo.com/coronavirus-in-oc at 2020-06-03T14:08:24.046510
