Date,New Cases,New Tests,Hospitalizations,ICU
2020-04-18,63,,,
2020-04-17,75,,155,59
2020-04-16,50,,129,48
2020-04-15,84,,138,68
2020-04-14,21,,104,45
2020-04-13,7,,122,62
2020-04-12,50,,103,51
2020-04-11,83,,107,52
2020-04-10,59,,118,63
2020-04-09,63,,124,57
2020-04-08,89,,127,63
2020-04-07,41,,99,59
2020-04-06,50,,129,75
2020-04-05,47,,130,72
2020-04-04,71,,140,63
2020-04-03,56,,112,71
2020-04-02,54,,103,44
2020-04-01,104,,115,47
2020-03-31,38,,67,31
2020-03-30,33,,94,46
2020-03-29,25,,,
2020-03-28,79,,,
2020-03-27,68,,50,31
2020-03-26,64,,,
2020-03-25,36,,,
2020-03-24,25,,,
2020-03-23,28,,,
2020-03-22,16,,,
2020-03-21,13,,,
2020-03-20,13,,,
2020-03-19,10,,,
2020-03-18,12,,,
2020-03-17,7,,,
2020-03-16,5,,,
2020-03-15,3,,,
2020-03-14,8,,,
2020-03-13,0,,,
2020-03-12,0,,,
2020-03-11,1,,,
2020-03-10,0,,,
2020-03-09,1,,,
2020-03-08,0,,,
2020-03-07,0,,,
2020-03-06,1,,,
2020-03-05,0,,,
2020-03-04,0,,,
2020-03-03,2,,,
2020-03-02,0,,,
2020-03-01,0,,,

exported from https://web.archive.org/web/20200419163647/https://occovid19.ochealthinfo.com/coronavirus-in-oc at 2020-06-03T09:42:07.411764
