Date,New Cases,New Tests,Hospitalizations,ICU
2020-05-16,105,,,
2020-05-15,156,467,235,85
2020-05-14,227,1694,212,78
2020-05-13,156,2519,227,79
2020-05-12,59,2497,248,98
2020-05-11,53,1831,230,100
2020-05-10,120,1579,196,77
2020-05-09,144,2329,178,59
2020-05-08,140,2737,218,87
2020-05-07,87,2440,188,74
2020-05-06,124,3107,186,69
2020-05-05,66,2575,192,73
2020-05-04,84,1920,202,62
2020-05-03,102,1529,169,52
2020-05-02,90,2165,187,58
2020-05-01,156,2446,202,58
2020-04-30,125,2266,181,61
2020-04-29,101,2274,190,63
2020-04-28,32,2049,175,70
2020-04-27,48,1178,178,74
2020-04-26,99,1353,157,62
2020-04-25,118,1183,148,55
2020-04-24,31,1263,159,70
2020-04-23,67,1421,150,63
2020-04-22,66,1412,158,59
2020-04-21,24,933,162,70
2020-04-20,36,536,148,54
2020-04-19,68,557,128,42
2020-04-18,57,765,144,56
2020-04-17,72,869,155,59
2020-04-16,50,841,129,48
2020-04-15,83,795,138,68
2020-04-14,21,653,104,45
2020-04-13,7,418,122,62
2020-04-12,49,505,103,51
2020-04-11,81,758,107,52
2020-04-10,58,753,118,63
2020-04-09,63,699,124,57
2020-04-08,89,842,127,63
2020-04-07,40,684,99,59
2020-04-06,49,447,129,75
2020-04-05,47,564,130,72
2020-04-04,70,630,140,63
2020-04-03,55,752,112,71
2020-04-02,54,952,103,44
2020-04-01,104,877,115,47
2020-03-31,38,574,67,31
2020-03-30,33,600,94,46
2020-03-29,25,669,0,0
2020-03-28,79,865,0,0
2020-03-27,67,759,50,31
2020-03-26,64,908,,
2020-03-25,36,556,,
2020-03-24,25,464,,
2020-03-23,28,329,,
2020-03-22,17,854,,
2020-03-21,13,428,,
2020-03-20,13,446,,
2020-03-19,10,220,,
2020-03-18,12,243,,
2020-03-17,7,142,,
2020-03-16,5,130,,
2020-03-15,3,89,,
2020-03-14,8,112,,
2020-03-13,,86,,
2020-03-12,,76,,
2020-03-11,1,53,,
2020-03-10,,62,,
2020-03-09,1,40,,
2020-03-08,,0,,
2020-03-07,,0,,
2020-03-06,1,45,,
2020-03-05,,25,,
2020-03-04,,0,,
2020-03-03,2,14,,
2020-03-02,,15,,
2020-03-01,,0,,

exported from https://web.archive.org/web/20200517172501/https://occovid19.ochealthinfo.com/coronavirus-in-oc at 2020-06-04T15:28:21.626383
