Date,New Cases,New Tests,Hospitalizations,ICU
2020-05-03,107,1597,,
2020-05-02,99,1088,187,58
2020-05-01,163,2594,202,58
2020-04-30,133,1594,181,61
2020-04-29,103,2203,190,63
2020-04-28,32,1390,175,70
2020-04-27,48,795,178,74
2020-04-26,101,2267,157,62
2020-04-25,118,1202,148,55
2020-04-24,31,1267,159,70
2020-04-23,67,671,150,63
2020-04-22,67,662,158,59
2020-04-21,24,717,162,70
2020-04-20,37,772,148,54
2020-04-19,70,378,128,42
2020-04-18,57,1245,144,56
2020-04-17,72,429,155,59
2020-04-16,50,637,129,48
2020-04-15,83,328,138,68
2020-04-14,21,802,104,45
2020-04-13,7,647,122,62
2020-04-12,50,240,103,51
2020-04-11,81,418,107,52
2020-04-10,59,631,118,63
2020-04-09,63,448,124,57
2020-04-08,89,484,127,63
2020-04-07,41,818,99,59
2020-04-06,49,556,129,75
2020-04-05,47,136,130,72
2020-04-04,71,1070,140,63
2020-04-03,55,936,112,71
2020-04-02,54,520,103,44
2020-04-01,104,597,115,47
2020-03-31,38,1152,67,31
2020-03-30,33,337,94,46
2020-03-29,25,301,0,0
2020-03-28,79,814,0,0
2020-03-27,68,465,50,31
2020-03-26,64,1163,,
2020-03-25,36,283,,
2020-03-24,25,383,,
2020-03-23,28,191,,
2020-03-22,17,341,,
2020-03-21,13,250,,
2020-03-20,13,405,,
2020-03-19,10,132,,
2020-03-18,12,61,,
2020-03-17,7,96,,
2020-03-16,5,80,,
2020-03-15,3,16,,
2020-03-14,8,46,,
2020-03-13,,45,,
2020-03-12,,22,,
2020-03-11,1,30,,
2020-03-10,,17,,
2020-03-09,1,0,,
2020-03-08,,0,,
2020-03-07,,15,,
2020-03-06,1,11,,
2020-03-05,,0,,
2020-03-04,,6,,
2020-03-03,2,7,,
2020-03-02,,0,,
2020-03-01,,0,,

exported from https://web.archive.org/web/20200503202327/https://occovid19.ochealthinfo.com/coronavirus-in-oc at 2020-06-03T09:43:34.775954
